Configuration,Size,ET,FileInput,CPU_Kernel,GPU_Kernel,Host2GPU,GPU2Host
HDD+GPU,512,0.104483, 0.000982, 0.000000, 0.002195, 0.000919, 0.000008
HDD+CPU,512,0.001160, 0.001032, 0.000088, 0.000000, 0.000000, 0.000000
SSD+GPU,512,0.102187, 0.001026, 0.000000, 0.001858, 0.000740, 0.000012
SSD+CPU,512,0.001083, 0.000941, 0.000107, 0.000000, 0.000000, 0.000000
HDD+GPU,32768,0.096655, 0.001812, 0.000000, 0.002601, 0.000839, 0.000049
HDD+CPU,32768,0.006248, 0.001335, 0.004889, 0.000000, 0.000000, 0.000000
SSD+GPU,32768,0.074123, 0.000640, 0.000000, 0.002559, 0.000798, 0.000055
SSD+CPU,32768,0.010425, 0.000834, 0.009545, 0.000000, 0.000000, 0.000000
HDD+GPU,262144,0.079579, 0.005118, 0.000000, 0.002638, 0.000850, 0.000344
HDD+CPU,262144,0.035357, 0.005529, 0.029781, 0.000000, 0.000000, 0.000000
SSD+GPU,262144,0.111057, 0.002321, 0.000000, 0.002774, 0.000862, 0.000337
SSD+CPU,262144,0.035107, 0.002103, 0.032962, 0.000000, 0.000000, 0.000000
